                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.76654,                 1.0238,                 1.2897,                0.79076,                0.78201,                0.83406,                0.65855,                0.78415,                0.72664,                 1.4745,               0.009208,               0.009208,               0.009208
                     91,                0.77288,                 1.0162,                 1.2935,                0.78199,                0.78824,                0.83559,                0.65937,                0.78197,                0.72391,                 1.4713,               0.009199,               0.009199,               0.009199
                     92,                 0.7623,                 1.0221,                 1.2867,                0.79724,                 0.7744,                0.83541,                0.65954,                0.78095,                0.72772,                 1.4705,                0.00919,                0.00919,                0.00919
                     93,                0.76568,                 1.0078,                 1.2884,                0.78321,                0.79843,                0.83699,                0.65928,                0.78555,                0.72097,                 1.4763,               0.009181,               0.009181,               0.009181
                     94,                0.76809,                 1.0107,                 1.2929,                0.78781,                0.79494,                0.83893,                0.66225,                0.78172,                0.71698,                 1.4739,               0.009172,               0.009172,               0.009172
                     95,                0.76598,                 1.0227,                 1.2903,                0.81749,                0.77527,                0.83973,                0.66397,                0.78137,                0.71554,                 1.4707,               0.009163,               0.009163,               0.009163
                     96,                0.76545,                 1.0004,                 1.2888,                0.80345,                 0.7873,                0.83777,                 0.6608,                0.78344,                0.71598,                 1.4731,               0.009154,               0.009154,               0.009154
                     97,                0.76549,                 1.0069,                 1.2882,                0.79409,                0.79633,                0.83906,                 0.6614,                0.78351,                0.71832,                 1.4728,               0.009145,               0.009145,               0.009145
                     98,                0.76332,                 1.0092,                 1.2872,                0.79838,                0.79089,                0.84182,                0.66252,                0.78321,                0.71256,                  1.472,               0.009136,               0.009136,               0.009136
                     99,                0.76475,                0.99891,                 1.2871,                0.79039,                0.80183,                0.84088,                0.66359,                0.78366,                0.71392,                 1.4722,               0.009127,               0.009127,               0.009127
                    100,                0.76946,                 1.0003,                 1.2918,                0.80163,                0.79383,                0.83909,                0.66294,                0.78234,                0.71536,                 1.4716,               0.009118,               0.009118,               0.009118
                    101,                0.75411,                0.98737,                 1.2816,                0.80583,                0.77444,                0.83918,                0.66395,                0.77979,                0.71394,                 1.4682,               0.009109,               0.009109,               0.009109
                    102,                0.76127,                0.99299,                 1.2817,                0.80625,                0.77857,                 0.8362,                0.66089,                0.78233,                 0.7144,                 1.4749,                 0.0091,                 0.0091,                 0.0091
                    103,                0.76013,                 1.0049,                 1.2838,                 0.8039,                0.77699,                0.83701,                 0.6609,                0.78145,                0.71012,                 1.4751,               0.009091,               0.009091,               0.009091
                    104,                0.76287,                0.99781,                 1.2856,                0.77312,                0.80182,                0.83846,                0.66191,                0.78087,                0.70973,                 1.4736,               0.009082,               0.009082,               0.009082
                    105,                0.75829,                0.99086,                 1.2812,                0.77498,                0.80478,                0.83813,                0.66018,                0.78368,                0.70909,                 1.4795,               0.009073,               0.009073,               0.009073
                    106,                0.76608,                 0.9884,                 1.2881,                0.77235,                0.80879,                0.84024,                0.66198,                0.78593,                0.70709,                 1.4848,               0.009064,               0.009064,               0.009064
                    107,                0.76273,                0.99378,                 1.2847,                0.79441,                0.78986,                  0.841,                0.66335,                0.78543,                0.70635,                 1.4839,               0.009055,               0.009055,               0.009055
                    108,                0.76212,                0.97935,                 1.2817,                 0.7992,                0.78676,                0.84429,                0.66609,                0.78661,                0.70429,                 1.4863,               0.009046,               0.009046,               0.009046
                    109,                0.76003,                0.98733,                 1.2822,                 0.7974,                0.78945,                0.84426,                0.66791,                0.78473,                0.70301,                 1.4811,               0.009037,               0.009037,               0.009037
                    110,                 0.7627,                0.98396,                 1.2875,                0.80636,                0.77875,                0.84339,                0.66749,                0.78414,                0.70533,                 1.4781,               0.009028,               0.009028,               0.009028
                    111,                0.76215,                0.97995,                 1.2842,                 0.8121,                0.77466,                0.84327,                0.66792,                0.78313,                0.70702,                  1.477,               0.009019,               0.009019,               0.009019
                    112,                0.75901,                0.98139,                 1.2757,                0.80147,                0.78616,                0.84359,                0.66697,                0.78421,                0.70737,                 1.4759,                0.00901,                0.00901,                0.00901
                    113,                0.75416,                0.97063,                 1.2734,                0.80685,                0.77768,                0.84358,                0.66673,                0.78342,                0.70931,                 1.4727,               0.009001,               0.009001,               0.009001
                    114,                0.76062,                0.98654,                 1.2804,                0.79418,                0.79731,                  0.845,                0.66791,                0.78291,                0.70649,                 1.4701,               0.008992,               0.008992,               0.008992
                    115,                0.76068,                 0.9758,                 1.2794,                0.79077,                0.79845,                0.84331,                0.66665,                0.78324,                0.70828,                 1.4718,               0.008983,               0.008983,               0.008983
                    116,                0.75283,                0.96025,                 1.2705,                0.79557,                0.78939,                0.84152,                0.66539,                0.78407,                0.70988,                 1.4744,               0.008974,               0.008974,               0.008974
                    117,                0.75808,                0.97257,                 1.2756,                0.80329,                0.78614,                0.84277,                0.66624,                 0.7839,                0.70928,                 1.4743,               0.008965,               0.008965,               0.008965
                    118,                0.75122,                0.96204,                 1.2658,                 0.7924,                0.79994,                0.84405,                0.66768,                0.78164,                0.70711,                 1.4718,               0.008956,               0.008956,               0.008956
                    119,                0.75432,                0.95968,                 1.2703,                0.79448,                0.80143,                0.84453,                0.66809,                0.78138,                 0.7061,                 1.4711,               0.008947,               0.008947,               0.008947
                    120,                0.75732,                0.95595,                 1.2723,                0.79965,                0.79317,                 0.8437,                0.66803,                0.78042,                0.70517,                 1.4702,               0.008938,               0.008938,               0.008938
                    121,                0.74462,                0.94839,                 1.2617,                0.80477,                0.78517,                0.84387,                0.66866,                0.78154,                0.70375,                 1.4728,               0.008929,               0.008929,               0.008929
                    122,                 0.7513,                0.95622,                 1.2737,                0.80055,                0.78917,                0.84426,                  0.669,                0.78165,                0.70146,                  1.471,                0.00892,                0.00892,                0.00892
                    123,                0.75526,                0.96833,                  1.273,                0.79907,                0.79064,                0.84378,                0.66883,                0.78213,                0.70149,                   1.47,               0.008911,               0.008911,               0.008911
                    124,                0.74901,                  0.939,                 1.2642,                0.80944,                0.78113,                0.84382,                0.66884,                0.78146,                0.70047,                 1.4687,               0.008902,               0.008902,               0.008902
                    125,                0.75039,                0.94674,                 1.2684,                0.80991,                0.78034,                 0.8444,                0.66907,                0.78097,                0.69852,                 1.4679,               0.008893,               0.008893,               0.008893
                    126,                0.75571,                0.94576,                 1.2716,                0.79234,                0.80175,                 0.8444,                0.66919,                0.78029,                0.69792,                 1.4677,               0.008884,               0.008884,               0.008884
                    127,                 0.7467,                0.94126,                 1.2661,                0.79268,                0.80164,                0.84482,                0.66908,                0.78014,                0.69936,                 1.4683,               0.008875,               0.008875,               0.008875
                    128,                0.75405,                0.93479,                 1.2701,                0.78949,                0.79894,                0.84512,                0.66959,                0.77968,                 0.6997,                 1.4685,               0.008866,               0.008866,               0.008866
                    129,                0.75227,                0.95519,                 1.2671,                0.79699,                0.79342,                0.84544,                0.66974,                0.78115,                0.70129,                 1.4711,               0.008857,               0.008857,               0.008857
                    130,                 0.7522,                0.95176,                 1.2675,                0.79188,                0.79822,                 0.8449,                0.66919,                0.78176,                  0.702,                 1.4719,               0.008848,               0.008848,               0.008848
                    131,                0.74892,                0.93629,                 1.2641,                0.79117,                0.79793,                0.84507,                  0.669,                0.78215,                0.70389,                 1.4726,               0.008839,               0.008839,               0.008839
                    132,                0.75056,                0.94374,                 1.2622,                0.78793,                0.80184,                0.84536,                0.66937,                0.78199,                0.70516,                 1.4721,                0.00883,                0.00883,                0.00883
                    133,                0.74037,                0.94518,                 1.2569,                0.79738,                0.79092,                0.84462,                0.66907,                0.78216,                 0.7051,                  1.473,               0.008821,               0.008821,               0.008821
