                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.76428,                 0.9825,                 1.3209,                0.79593,                 0.8018,                0.85159,                0.67888,                0.77052,                0.68636,                 1.4582,               0.009082,               0.009082,               0.009082
                    105,                0.75587,                0.96633,                 1.3136,                0.79929,                 0.7973,                0.85274,                0.67911,                0.77025,                0.68359,                 1.4575,               0.009073,               0.009073,               0.009073
                    106,                0.76174,                0.96879,                 1.3131,                0.80225,                0.80029,                0.85205,                0.67737,                0.77303,                0.68913,                 1.4598,               0.009064,               0.009064,               0.009064
                    107,                0.75393,                 0.9659,                 1.3089,                0.79499,                0.80731,                0.85151,                0.67953,                0.77176,                 0.6882,                 1.4584,               0.009055,               0.009055,               0.009055
                    108,                0.75538,                0.96433,                 1.3113,                0.80444,                0.80158,                0.85264,                0.67979,                0.77107,                0.68663,                 1.4579,               0.009046,               0.009046,               0.009046
                    109,                0.75478,                 0.9622,                  1.308,                0.80008,                0.79827,                 0.8521,                0.68004,                0.76966,                0.68707,                 1.4555,               0.009037,               0.009037,               0.009037
                    110,                0.75198,                0.95979,                 1.3057,                0.80001,                0.80122,                0.85314,                0.68022,                 0.7701,                0.68689,                 1.4584,               0.009028,               0.009028,               0.009028
                    111,                0.75264,                0.96918,                 1.3117,                0.79647,                0.81156,                 0.8551,                0.68013,                0.77025,                0.68508,                 1.4571,               0.009019,               0.009019,               0.009019
                    112,                0.75226,                0.95509,                 1.3075,                0.79187,                0.81574,                 0.8534,                0.67887,                0.77207,                0.68451,                 1.4572,                0.00901,                0.00901,                0.00901
                    113,                0.74913,                0.95947,                 1.3053,                0.79416,                0.81863,                0.85459,                0.68066,                 0.7735,                0.68252,                 1.4583,               0.009001,               0.009001,               0.009001
