                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.77695,                 1.0352,                 1.5107,                0.77742,                0.82018,                0.84572,                0.67157,                0.76631,                  0.717,                 1.5551,               0.009271,               0.009271,               0.009271
                     84,                0.76885,                 1.0205,                 1.4958,                0.79421,                0.80832,                 0.8463,                 0.6725,                0.76635,                0.71479,                 1.5471,               0.009262,               0.009262,               0.009262
                     85,                0.77263,                 1.0162,                 1.5034,                0.78742,                0.81874,                0.84778,                0.67204,                0.76957,                0.71573,                 1.5504,               0.009253,               0.009253,               0.009253
                     86,                0.77274,                 1.0152,                 1.4986,                0.79474,                0.80485,                0.84802,                0.67328,                0.76837,                0.71722,                 1.5475,               0.009244,               0.009244,               0.009244
                     87,                 0.7699,                 1.0148,                 1.5025,                0.79831,                 0.7981,                0.84673,                0.67294,                0.76812,                0.71634,                 1.5581,               0.009235,               0.009235,               0.009235
                     88,                0.77395,                 1.0156,                 1.4997,                 0.7965,                0.79869,                0.84602,                0.67314,                 0.7665,                0.71505,                 1.5434,               0.009226,               0.009226,               0.009226
                     89,                0.77257,                 1.0108,                 1.5051,                0.79297,                0.79917,                0.84394,                0.67114,                0.77008,                0.72023,                 1.5707,               0.009217,               0.009217,               0.009217
                     90,                0.77188,                 1.0187,                 1.5032,                0.78119,                0.81838,                 0.8436,                 0.6703,                0.76955,                0.71795,                 1.5698,               0.009208,               0.009208,               0.009208
                     91,                0.77226,                 1.0042,                  1.501,                0.79031,                0.80248,                0.84552,                0.67285,                0.76676,                0.71411,                 1.5633,               0.009199,               0.009199,               0.009199
                     92,                0.77177,                  1.018,                 1.4966,                0.81184,                 0.7831,                0.84696,                0.67288,                0.77376,                0.71663,                 1.5731,                0.00919,                0.00919,                0.00919
                     93,                0.76789,                 1.0026,                 1.4995,                0.78085,                0.81672,                0.84728,                0.67307,                0.77352,                0.71236,                   1.58,               0.009181,               0.009181,               0.009181
                     94,                0.76689,                 1.0071,                 1.4935,                0.76998,                0.83103,                0.84708,                0.67183,                0.77528,                0.70947,                 1.5773,               0.009172,               0.009172,               0.009172
                     95,                0.77403,                 1.0142,                 1.5024,                0.78348,                0.80865,                0.84605,                0.67201,                0.77428,                0.71074,                 1.5689,               0.009163,               0.009163,               0.009163
                     96,                0.76845,                  1.002,                 1.4973,                0.78175,                0.80624,                0.84787,                0.67421,                0.77378,                 0.7069,                 1.5673,               0.009154,               0.009154,               0.009154
                     97,                0.77188,                 1.0015,                 1.4986,                0.79578,                0.79558,                 0.8485,                0.67193,                0.77416,                0.70765,                 1.5696,               0.009145,               0.009145,               0.009145
                     98,                0.77499,                0.99976,                 1.5007,                0.77758,                0.81378,                0.84929,                0.67274,                 0.7731,                0.70226,                  1.567,               0.009136,               0.009136,               0.009136
                     99,                 0.7662,                0.98731,                 1.4961,                0.79972,                0.79783,                0.84842,                0.67354,                0.77185,                0.69979,                 1.5669,               0.009127,               0.009127,               0.009127
                    100,                0.76255,                0.99321,                 1.4899,                0.79512,                0.81037,                0.85112,                0.67564,                0.76946,                0.69828,                 1.5677,               0.009118,               0.009118,               0.009118
                    101,                0.77045,                 0.9884,                 1.5001,                0.79902,                0.80489,                0.85222,                0.67671,                0.77026,                0.70004,                 1.5689,               0.009109,               0.009109,               0.009109
                    102,                 0.7596,                0.98248,                 1.4914,                0.78045,                0.81589,                0.84888,                0.67506,                0.76969,                0.70216,                 1.5686,                 0.0091,                 0.0091,                 0.0091
                    103,                0.76265,                0.99701,                 1.4869,                0.77816,                0.81784,                0.84735,                0.67484,                0.76821,                 0.7039,                 1.5644,               0.009091,               0.009091,               0.009091
                    104,                0.76758,                0.99354,                 1.4929,                0.77359,                0.81553,                 0.8476,                0.67541,                0.76741,                0.70577,                 1.5658,               0.009082,               0.009082,               0.009082
                    105,                0.75872,                0.98296,                 1.4848,                0.78423,                0.80466,                0.84785,                0.67488,                0.76581,                0.70599,                 1.5636,               0.009073,               0.009073,               0.009073
                    106,                0.76225,                0.99088,                 1.4898,                0.78782,                0.80834,                0.84813,                0.67506,                0.76667,                0.70381,                 1.5665,               0.009064,               0.009064,               0.009064
                    107,                0.75659,                0.98138,                 1.4823,                 0.7965,                0.80375,                0.84802,                0.67465,                0.76538,                0.70515,                 1.5703,               0.009055,               0.009055,               0.009055
                    108,                0.75927,                0.98138,                 1.4901,                0.78365,                0.81882,                0.85072,                0.67749,                0.76414,                0.69875,                  1.568,               0.009046,               0.009046,               0.009046
                    109,                0.75725,                0.97178,                 1.4886,                0.78757,                0.81588,                0.85055,                0.67817,                0.76349,                0.69658,                 1.5689,               0.009037,               0.009037,               0.009037
                    110,                0.75926,                0.97643,                 1.4876,                 0.7872,                0.81722,                0.85142,                0.67899,                0.76392,                0.69516,                 1.5689,               0.009028,               0.009028,               0.009028
                    111,                0.76101,                0.98154,                 1.4927,                0.79365,                0.81299,                0.85422,                0.68006,                0.76489,                0.69437,                 1.5719,               0.009019,               0.009019,               0.009019
                    112,                0.75789,                0.96541,                 1.4867,                0.78789,                0.82036,                0.85604,                0.68105,                0.76559,                 0.6921,                 1.5688,                0.00901,                0.00901,                0.00901
                    113,                0.75311,                0.97332,                 1.4873,                0.78921,                0.81515,                 0.8546,                0.68093,                0.76493,                0.69415,                 1.5695,               0.009001,               0.009001,               0.009001
                    114,                0.75637,                0.97732,                 1.4886,                0.78448,                0.82525,                0.85221,                0.67927,                0.76519,                0.69476,                 1.5685,               0.008992,               0.008992,               0.008992
                    115,                0.75209,                0.95657,                 1.4862,                0.77982,                0.82952,                0.85149,                0.67817,                0.76667,                 0.6947,                 1.5712,               0.008983,               0.008983,               0.008983
                    116,                0.74876,                0.95903,                  1.482,                0.78711,                0.81862,                0.85239,                0.67832,                0.76701,                0.69426,                 1.5749,               0.008974,               0.008974,               0.008974
                    117,                 0.7549,                0.95542,                 1.4862,                0.79748,                0.81367,                0.85373,                0.68077,                0.76795,                0.69433,                 1.5774,               0.008965,               0.008965,               0.008965
                    118,                0.75409,                0.96494,                 1.4851,                0.80065,                0.80754,                0.85312,                0.67871,                0.76924,                0.69369,                 1.5789,               0.008956,               0.008956,               0.008956
                    119,                0.75357,                 0.9585,                 1.4807,                0.80063,                0.80849,                0.85457,                0.68041,                0.76831,                0.69136,                 1.5757,               0.008947,               0.008947,               0.008947
                    120,                0.75898,                0.95675,                 1.4967,                0.80484,                0.80619,                0.85351,                 0.6812,                0.76745,                0.69125,                 1.5788,               0.008938,               0.008938,               0.008938
                    121,                0.75835,                 0.9551,                 1.4849,                0.80538,                0.81181,                0.85352,                 0.6802,                0.76844,                0.69089,                   1.58,               0.008929,               0.008929,               0.008929
                    122,                0.75704,                0.95389,                 1.4919,                 0.8022,                0.80813,                0.85404,                0.67986,                0.76832,                0.68853,                 1.5811,                0.00892,                0.00892,                0.00892
                    123,                0.74901,                 0.9481,                 1.4865,                0.80261,                0.81044,                0.85422,                0.68064,                0.76851,                0.68914,                  1.584,               0.008911,               0.008911,               0.008911
                    124,                 0.7531,                0.95722,                 1.4834,                0.80143,                0.80638,                0.85432,                0.68033,                0.76889,                0.68974,                 1.5839,               0.008902,               0.008902,               0.008902
                    125,                0.75489,                0.95075,                 1.4782,                0.80284,                 0.8043,                0.85385,                0.68071,                0.76933,                0.69099,                 1.5819,               0.008893,               0.008893,               0.008893
                    126,                0.75006,                0.94405,                 1.4788,                0.79421,                0.81048,                0.85281,                0.67899,                0.77155,                0.69256,                 1.5847,               0.008884,               0.008884,               0.008884
                    127,                0.74241,                 0.9502,                 1.4727,                0.77676,                0.82615,                0.85317,                0.67917,                0.77094,                0.69192,                 1.5836,               0.008875,               0.008875,               0.008875
                    128,                0.74756,                0.94505,                 1.4819,                0.78107,                0.83025,                0.85355,                0.68057,                0.77109,                0.69142,                 1.5836,               0.008866,               0.008866,               0.008866
                    129,                0.74821,                0.94161,                 1.4811,                0.78146,                 0.8263,                0.85385,                0.68059,                0.77007,                0.69111,                 1.5828,               0.008857,               0.008857,               0.008857
                    130,                0.74639,                  0.941,                 1.4749,                0.79116,                0.81305,                0.85377,                0.68008,                0.77007,                 0.6912,                 1.5834,               0.008848,               0.008848,               0.008848
                    131,                 0.7506,                0.94854,                 1.4803,                0.79056,                 0.8114,                0.85383,                0.68055,                0.76968,                0.69136,                 1.5829,               0.008839,               0.008839,               0.008839
                    132,                0.74225,                0.93809,                 1.4745,                0.78452,                0.82036,                0.85282,                0.67992,                0.76938,                0.69102,                 1.5811,                0.00883,                0.00883,                0.00883
                    133,                0.74234,                0.93738,                 1.4743,                0.79073,                0.81194,                0.85218,                0.67848,                0.76942,                0.69175,                 1.5811,               0.008821,               0.008821,               0.008821
                    134,                0.74286,                0.93954,                 1.4737,                0.79316,                0.80941,                0.85321,                0.67839,                0.76902,                 0.6904,                 1.5799,               0.008812,               0.008812,               0.008812
                    135,                0.73796,                0.93191,                 1.4748,                0.79988,                0.80529,                0.85303,                0.67942,                0.76841,                0.69012,                 1.5806,               0.008803,               0.008803,               0.008803
                    136,                0.74313,                0.94221,                 1.4755,                0.79412,                0.81064,                0.85245,                 0.6786,                0.76821,                0.69112,                 1.5805,               0.008794,               0.008794,               0.008794
                    137,                0.74103,                0.92955,                 1.4667,                0.78849,                0.81712,                0.85254,                0.67855,                0.76777,                 0.6909,                 1.5795,               0.008785,               0.008785,               0.008785
                    138,                0.74091,                0.93041,                 1.4725,                0.78557,                0.82205,                0.85244,                0.67844,                0.76821,                0.69157,                 1.5804,               0.008776,               0.008776,               0.008776
                    139,                0.74408,                0.93169,                 1.4759,                0.78437,                0.82718,                0.85202,                0.67795,                0.76839,                 0.6912,                 1.5812,               0.008767,               0.008767,               0.008767
                    140,                0.74328,                 0.9304,                 1.4798,                 0.7914,                0.81692,                0.85177,                0.67746,                 0.7689,                0.69176,                 1.5822,               0.008758,               0.008758,               0.008758
                    141,                0.73616,                0.92765,                 1.4713,                0.79166,                0.81701,                0.85166,                0.67786,                0.76851,                0.69154,                 1.5822,               0.008749,               0.008749,               0.008749
                    142,                0.73811,                0.93273,                 1.4711,                0.78654,                0.82084,                0.85203,                0.67811,                0.76822,                0.69046,                 1.5825,                0.00874,                0.00874,                0.00874
                    143,                0.73754,                0.91647,                 1.4674,                0.78981,                0.81485,                0.85176,                0.67823,                0.76795,                0.69029,                 1.5829,               0.008731,               0.008731,               0.008731
                    144,                0.73558,                0.92641,                 1.4706,                0.78971,                0.81104,                0.85119,                0.67761,                0.76806,                 0.6904,                 1.5837,               0.008722,               0.008722,               0.008722
                    145,                0.73782,                 0.9151,                 1.4744,                 0.8002,                0.80052,                0.85154,                0.67762,                0.76777,                 0.6916,                 1.5842,               0.008713,               0.008713,               0.008713
